2020-03-07 21:12:25.782 [main] INFO  cn.Application - Starting Application on xjtdeMacBook-Pro.local with PID 18341 (/Users/fanlilin/workspace/autoApiTest/AutoApiTestDemo/api/target/classes started by fanlilin in /Users/fanlilin/workspace/autoApiTest/AutoApiTestDemo)
2020-03-07 21:12:25.786 [main] INFO  cn.Application - No active profile set, falling back to default profiles: default
2020-03-07 21:12:27.769 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn]' package. Please check your configuration.
2020-03-07 21:12:28.318 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-07 21:12:28.872 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 6868 (http)
2020-03-07 21:12:28.890 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-6868"]
2020-03-07 21:12:28.890 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-07 21:12:28.891 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-03-07 21:12:29.029 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-07 21:12:29.030 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2936 ms
2020-03-07 21:12:29.978 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-03-07 21:12:30.125 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-07 21:12:30.341 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-03-07 21:12:30.397 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-03-07 21:12:30.429 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-03-07 21:12:30.507 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-03-07 21:12:30.933 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-6868"]
2020-03-07 21:12:30.979 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 6868 (http) with context path ''
2020-03-07 21:12:30.987 [main] INFO  cn.Application - Started Application in 6.616 seconds (JVM running for 8.101)
2020-03-07 21:14:54.380 [http-nio-6868-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-07 21:14:54.383 [http-nio-6868-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-03-07 21:14:54.424 [http-nio-6868-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 41 ms
2020-03-07 21:14:54.598 [http-nio-6868-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-03-07 21:14:55.110 [http-nio-6868-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-03-07 21:14:55.219 [http-nio-6868-exec-1] INFO  cn.api.controller.UserController - 可查询到当前用户名:彭于晏
2020-03-07 21:14:55.456 [http-nio-6868-exec-2] INFO  cn.api.controller.UserController - cookies验证通过
2020-03-07 21:14:55.488 [http-nio-6868-exec-2] INFO  cn.api.controller.UserController - 新增用户：王刚成功！
2020-03-07 21:14:58.630 [http-nio-6868-exec-3] INFO  cn.api.controller.UserController - cookies验证通过
2020-03-07 21:14:58.660 [http-nio-6868-exec-3] INFO  cn.api.controller.UserController - 更新成功，更新数据为1条
2020-03-07 21:14:58.891 [http-nio-6868-exec-4] INFO  cn.api.controller.UserController - cookies验证通过
2020-03-07 21:14:58.895 [http-nio-6868-exec-4] INFO  cn.api.controller.UserController - 可查询到1个用户
2020-03-07 21:14:59.090 [http-nio-6868-exec-5] INFO  cn.api.controller.UserController - cookies验证通过
2020-03-07 21:14:59.095 [http-nio-6868-exec-5] INFO  cn.api.controller.UserController - 可查询到2个用户
2020-03-07 21:21:10.340 [http-nio-6868-exec-7] INFO  cn.api.controller.UserController - 可查询到当前用户名:彭于晏
